@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute class {class_0,class_1}

@data
1,15,0,1,1,7,7,1,1,0,2,class_0
14,12,1,1,1,6,5,1.2,1,0,2,class_0
16,20,1,0,1,8,11,0.73,1,0,2,class_0
17,20,1,0,1,7,10,0.7,2,1,3,class_0
18,19,0,0,1,5,13,0.38,1,0,2,class_0
20,10,1,0,1,2,7,0.29,1,0,2,class_0
21,9,0,0,1,3,5,0.6,1,0,2,class_0
22,9,0,0,1,3,5,0.6,1,0,2,class_0
27,13,0,0,1,2,8,0.25,2,1,3,class_0
28,16,1,0,1,5,8,0.62,2,1,3,class_0
42,15,0,0,1,4,10,0.4,1,0,2,class_0
43,12,1,0,1,4,7,0.57,1,0,2,class_0
44,8,1,0,1,2,5,0.4,1,0,2,class_0
45,12,1,0,1,5,6,0.83,1,0,2,class_0
46,8,1,0,1,3,4,0.75,1,0,2,class_0
47,15,0,0,1,5,9,0.56,1,0,2,class_0
48,17,0,0,1,6,10,0.6,1,0,2,class_0
49,16,1,0,1,5,8,0.62,2,1,3,class_0
50,13,0,0,1,5,7,0.71,1,0,2,class_0
51,15,0,0,1,4,8,0.5,2,1,3,class_0
52,10,1,0,1,3,6,0.5,1,0,2,class_0
53,12,1,0,1,4,7,0.57,1,0,2,class_0
54,13,0,0,1,4,8,0.5,1,0,2,class_0
55,14,1,0,1,5,8,0.62,1,0,2,class_0
56,14,1,0,1,4,9,0.44,1,0,2,class_0
57,17,0,0,1,6,10,0.6,1,0,2,class_0
58,13,0,0,1,5,7,0.71,1,0,2,class_0
59,16,1,0,1,5,10,0.5,1,0,2,class_0
60,12,1,0,1,5,6,0.83,1,0,2,class_0
61,12,1,0,1,4,5,0.8,2,1,3,class_0
62,14,1,0,1,4,7,0.57,2,1,3,class_0
63,16,1,0,1,4,9,0.44,2,1,3,class_0
64,12,1,0,1,5,6,0.83,1,0,2,class_0
65,12,1,0,1,4,7,0.57,1,0,2,class_0
67,14,1,0,1,5,8,0.62,1,0,2,class_0
68,18,1,1,1,4,9,0.44,3,2,4,class_0
76,16,1,0,1,7,8,0.88,1,0,2,class_0
77,12,1,0,1,5,6,0.83,1,0,2,class_0
78,17,0,0,1,4,10,0.4,2,1,3,class_0
80,14,1,0,1,3,8,0.38,2,1,3,class_0
81,10,1,0,1,3,6,0.5,1,0,2,class_0
82,15,0,0,1,5,9,0.56,1,0,2,class_0
83,17,0,0,1,6,8,0.75,2,1,3,class_0
84,11,0,0,1,4,6,0.67,1,0,2,class_0
85,14,1,0,1,4,7,0.57,2,1,3,class_0
86,16,1,0,1,4,9,0.44,2,1,3,class_0
89,10,1,0,1,3,6,0.5,1,0,2,class_0
90,21,0,0,1,10,10,1,1,0,2,class_0
91,14,1,0,1,4,9,0.44,1,0,2,class_0
92,10,1,0,1,2,7,0.29,1,0,2,class_0
93,14,1,0,1,6,7,0.86,1,0,2,class_0
94,14,1,0,1,6,7,0.86,1,0,2,class_0
95,11,0,0,1,3,7,0.43,1,0,2,class_0
96,11,0,0,1,3,7,0.43,1,0,2,class_0
100,14,1,0,1,4,7,0.57,2,1,3,class_0
101,11,0,0,1,3,7,0.43,1,0,2,class_0
102,13,0,0,1,4,8,0.5,1,0,2,class_0
103,11,0,0,1,4,6,0.67,1,0,2,class_0
104,21,0,0,1,9,10,0.9,2,0,3,class_0
105,18,1,0,1,7,10,0.7,1,0,2,class_0
106,12,1,0,1,3,8,0.38,1,0,2,class_0
107,14,1,0,1,5,8,0.62,1,0,2,class_0
108,12,1,0,1,4,7,0.57,1,0,2,class_0
109,9,0,0,1,2,6,0.33,1,0,2,class_0
110,10,1,0,1,5,4,1.25,1,0,2,class_0
111,12,1,0,1,4,7,0.57,1,0,2,class_0
112,13,0,0,1,5,7,0.71,1,0,2,class_0
113,18,1,0,1,5,12,0.42,1,0,2,class_0
114,9,0,0,1,3,5,0.6,1,0,2,class_0
115,12,1,0,1,3,8,0.38,1,0,2,class_0
116,13,0,0,1,3,7,0.43,2,1,3,class_0
117,12,1,0,1,3,6,0.5,2,1,3,class_0
118,12,1,0,1,3,8,0.38,1,0,2,class_0
119,15,0,0,1,4,10,0.4,1,0,2,class_0
120,16,1,0,1,5,10,0.5,1,0,2,class_0
121,12,1,0,1,4,7,0.57,1,0,2,class_0
122,14,1,0,1,5,8,0.62,1,0,2,class_0
123,16,1,0,1,5,8,0.62,2,1,3,class_0
124,17,0,0,1,6,10,0.6,1,0,2,class_0
125,12,1,0,1,4,7,0.57,1,0,2,class_0
126,16,1,0,1,4,9,0.44,2,1,3,class_0
127,12,1,0,1,4,7,0.57,1,0,2,class_0
128,15,0,0,1,6,8,0.75,1,0,2,class_0
130,12,1,0,1,4,5,0.8,2,1,3,class_0
131,8,1,0,1,2,5,0.4,1,0,2,class_0
132,17,0,0,1,5,11,0.45,1,0,2,class_0
133,10,1,0,1,4,5,0.8,1,0,2,class_0
134,13,0,0,1,6,6,1,1,0,2,class_0
135,8,1,0,1,2,5,0.4,1,0,2,class_0
136,15,0,0,1,6,8,0.75,1,0,2,class_0
137,16,1,0,1,5,10,0.5,1,0,2,class_0
141,13,0,0,1,4,8,0.5,1,0,2,class_0
142,11,0,0,1,4,6,0.67,1,0,2,class_0
143,10,1,0,1,3,6,0.5,1,0,2,class_0
144,12,1,0,1,4,7,0.57,1,0,2,class_0
145,12,1,0,1,5,6,0.83,1,0,2,class_0
146,21,0,0,1,7,12,0.58,2,0,3,class_0
147,14,1,0,1,4,9,0.44,1,0,2,class_0
148,16,1,0,1,6,9,0.67,1,0,2,class_0
149,11,0,0,1,3,7,0.43,1,0,2,class_0
150,14,1,0,1,6,7,0.86,1,0,2,class_0
151,15,0,0,1,4,8,0.5,2,1,3,class_0
153,12,1,0,1,5,6,0.83,1,0,2,class_0
154,15,0,0,1,6,8,0.75,1,0,2,class_0
155,17,0,0,1,5,9,0.56,2,1,3,class_0
156,15,0,0,1,4,10,0.4,1,0,2,class_0
157,18,1,0,1,6,11,0.55,1,0,2,class_0
158,13,0,0,1,5,7,0.71,1,0,2,class_0
159,14,1,0,1,5,8,0.62,1,0,2,class_0
160,13,0,0,1,4,8,0.5,1,0,2,class_0
161,16,1,0,1,4,11,0.36,1,0,2,class_0
162,11,0,0,1,3,7,0.43,1,0,2,class_0
163,14,1,0,1,3,8,0.38,2,1,3,class_0
164,15,0,0,1,5,9,0.56,1,0,2,class_0
165,13,0,0,1,4,8,0.5,1,0,2,class_0
166,15,0,0,1,4,10,0.4,1,0,2,class_0
167,13,0,0,1,5,6,0.83,2,0,3,class_0
168,14,1,0,1,7,6,1.17,1,0,2,class_0
169,14,1,0,1,5,8,0.62,1,0,2,class_0
170,14,1,0,1,5,8,0.62,1,0,2,class_0
171,19,0,0,1,7,9,0.78,2,1,3,class_0
172,16,1,0,1,3,10,0.3,2,1,3,class_0
173,18,1,0,1,6,9,0.67,2,1,3,class_0
174,17,0,0,1,6,8,0.75,2,1,3,class_0
175,18,1,0,1,7,8,0.88,2,1,3,class_0
176,14,1,0,1,5,8,0.62,1,0,2,class_0
177,15,0,0,1,5,9,0.56,1,0,2,class_0
178,15,0,0,1,5,9,0.56,1,0,2,class_0
179,17,0,0,1,5,9,0.56,2,1,3,class_0
180,18,1,0,1,7,8,0.88,3,0,4,class_0
181,13,0,0,1,5,7,0.71,1,0,2,class_0
182,12,1,0,1,6,5,1.2,1,0,2,class_0
183,10,1,0,1,3,6,0.5,1,0,2,class_0
184,12,1,0,1,4,7,0.57,1,0,2,class_0
185,12,1,0,1,4,7,0.57,1,0,2,class_0
187,13,0,0,1,4,8,0.5,1,0,2,class_0
188,9,0,0,1,5,3,1.67,1,0,2,class_0
189,18,1,0,1,7,10,0.7,1,0,2,class_0
190,10,1,0,1,4,5,0.8,1,0,2,class_0
191,12,1,0,1,4,7,0.57,1,0,2,class_0
192,16,1,0,1,6,9,0.67,1,0,2,class_0
193,19,0,0,1,8,10,0.8,1,0,2,class_0
194,16,1,0,1,7,8,0.88,1,0,2,class_0
195,11,0,0,1,4,6,0.67,1,0,2,class_0
196,15,0,0,1,5,9,0.56,1,0,2,class_0
199,15,0,0,1,4,10,0.4,1,0,2,class_0
200,13,0,0,1,5,7,0.71,1,0,2,class_0
201,11,0,0,1,3,7,0.43,1,0,2,class_0
202,18,1,0,1,6,9,0.67,2,1,3,class_0
203,17,0,0,1,3,11,0.27,2,1,3,class_0
204,12,1,0,1,4,7,0.57,1,0,2,class_0
205,11,0,0,1,4,6,0.67,1,0,2,class_0
206,12,1,0,1,5,6,0.83,1,0,2,class_0
207,16,1,0,1,4,9,0.44,2,1,3,class_0
208,14,1,0,1,4,9,0.44,1,0,2,class_0
215,14,1,0,1,4,9,0.44,1,0,2,class_0
216,15,0,0,1,5,9,0.56,1,0,2,class_0
217,14,1,0,1,5,8,0.62,1,0,2,class_0
218,11,0,0,1,3,7,0.43,1,0,2,class_0
219,18,1,0,1,7,8,0.88,2,1,3,class_0
220,17,0,0,1,4,10,0.4,2,1,3,class_0
221,15,0,0,1,4,8,0.5,2,1,3,class_0
222,15,0,0,1,4,8,0.5,2,1,3,class_0
223,14,1,0,1,4,7,0.57,2,1,3,class_0
224,15,0,0,1,5,9,0.56,1,0,2,class_0
225,12,1,0,1,4,7,0.57,1,0,2,class_0
226,17,0,0,1,6,10,0.6,1,0,2,class_0
227,13,0,0,1,6,6,1,1,0,2,class_0
228,10,1,0,1,4,5,0.8,1,0,2,class_0
229,16,1,0,1,4,9,0.44,2,1,3,class_0
230,12,1,0,1,4,7,0.57,1,0,2,class_0
231,16,1,0,1,5,10,0.5,1,0,2,class_0
232,15,0,0,1,5,9,0.56,1,0,2,class_0
233,13,0,0,1,3,9,0.33,1,0,2,class_0
234,14,1,0,1,5,8,0.62,1,0,2,class_0
235,11,0,0,1,4,6,0.67,1,0,2,class_0
236,18,1,0,1,5,11,0.45,2,0,3,class_0
238,13,0,0,1,4,8,0.5,1,0,2,class_0
239,15,0,0,1,6,8,0.75,1,0,2,class_0
240,13,0,0,1,3,9,0.33,1,0,2,class_0
244,14,1,0,1,5,8,0.62,1,0,2,class_0
257,16,1,0,1,5,8,0.62,2,1,3,class_0
258,17,0,0,1,8,8,1,1,0,2,class_0
259,12,1,0,1,3,8,0.38,1,0,2,class_0
260,12,1,0,1,7,4,1.75,1,0,2,class_0
261,12,1,0,1,6,5,1.2,1,0,2,class_0
268,17,0,0,1,4,10,0.4,2,1,3,class_0
269,12,1,0,1,3,8,0.38,1,0,2,class_0
270,11,0,0,1,3,7,0.43,1,0,2,class_0
271,11,0,0,1,3,7,0.43,1,0,2,class_0
272,15,0,0,1,3,9,0.33,2,1,3,class_0
273,20,1,0,1,8,11,0.73,1,0,2,class_0
275,14,1,0,1,5,8,0.62,1,0,2,class_0
