@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute class {class_0,class_1}

@data
0,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,class_0
1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class_0
3,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,class_0
4,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class_0
5,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class_0
6,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,class_0
9,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,class_0
10,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class_0
17,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class_0
19,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,class_0
22,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class_0
26,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,class_0
27,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class_0
28,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,class_0
30,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,class_0
31,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,class_0
34,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,class_0
35,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,class_0
43,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class_0
44,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class_0
46,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class_0
47,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,class_0
48,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,class_0
49,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class_0
53,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,class_0
54,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class_0
62,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,class_0
63,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class_0
64,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,class_0
65,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,class_0
66,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class_0
67,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,class_0
68,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class_0
69,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,class_0
73,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,class_0
74,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,class_0
83,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,class_0
92,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,class_0
93,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,class_0
95,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,class_0
97,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class_0
2,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,class_1
7,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,class_1
8,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,class_1
11,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,class_1
12,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,class_1
13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,class_1
14,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,class_1
15,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,class_1
16,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,class_1
18,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,class_1
20,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,class_1
21,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,class_1
23,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,class_1
24,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,class_1
25,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,class_1
25,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,class_1
29,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,class_1
